Section,Variable Name,Data Type,Description,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed Occupancy,surge_cap,Integer,Number of adult surge and/or overflow beds actively staffed and currently available (not beds you stand up over time).,"Adult beds in overflow/surge/expansion areas are used when a hospital has reached the point of over-capacity, requireing the hospital to impkement a unique process to allow for decompression. Surge fields shouldn't be utilized until at least one bed category is at 100% capacity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed Occupancy,surge_occ,Integer,"Number of adult staffed beds in Overflow/Surge/Expansion areas that are occupied (i.e., filled by a patient for any reason).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed Occupancy,other_cap,Integer,"Number of all remaining adult staffed inpatient beds currently available for use (excluding adult, pediatric, and neonatal ICU beds, and adult and pediatric acute care beds which are counted separately in prior fields).","Adult beds that you might want to include in other inpatient areas: in-patient Psychiatry Beds, In-Patient Rehabilitation, In-Patient Perinatal care for mothers (peri- and/or post partum care), In-patient behavioral health, hospice care, in-patient designated dialysis beds, swing beds: which the hospital can use to provide either acute or skilled nursing facility care. CMS-certified IRD units and/or CMS certified IPF units are not included. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed Occupancy,other_occ,Integer,"Number of adult staffed beds in other inpatient areas that are occupied (i.e., filled by a patient for any reason).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed Occupancy,prevd_adult_ed,Integer,Number of patient visits to the ED who were seen on the previous calendar day regardless of reason for visit for Adult patients. Include all patients who are triaged even if they leave before being seen by a provider.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed Occupancy,prevd_ped_ed,Integer,Number of patient visits to the ED who were seen on the previous calendar day regardless of reason for visit for Pediatric patients. Include all patients who are triaged even if they leave before being seen by a provider.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_hospitalized,Integer,Number of adult and pediatric patients hospitalized in an inpatient bed who have laboratory-confirmed COVID-19. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_adult_hosp,Integer,Number of patients hospitalized in an adult inpatient bed who have laboratory-confirmed COVID-19. Include those in observation beds. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_ped_hosp,Integer,"Number of patients hospitalized in a pediatric inpatient bed, including NICU, PICU, newborn, and nursery, who have laboratory-confirmed COVID-19. Include those in observation beds. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_icu,Integer,Number of adult and pediatric patients hospitalized in an ICU bed who have laboratory-confirmed COVID-19. (subset),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_adult_icu,Integer,Number of patients hospitalized in an adult ICU bed who have laboratory-confirmed COVID-19. (subset),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_ped_icu,Integer,Number of patients hospitalized in a pediatric ICU bed who have laboratory-confirmed COVID-19. (subset),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_adm,Integer,"Number of laboratory-confirmed COVID-19 admissions, all ages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_adult_adm,Integer,Number of adult patients 18+ years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed COVID-19 at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_ped_adm,Integer,Number of pediatric patients 0-17 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed COVID-19 at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_adm_age_0_to_4,Integer,Number of pediatric patients 0-4 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed COVID-19 at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_adm_age_5_to_17,Integer,Number of pediatric patients 5-17 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed COVID-19 at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_adm_age_18_to_49,Integer,Number of adult patients 18-49 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed COVID-19 at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Stats,covid_adm_age_50_to_64,Integer,Number of adult patients 50-64 years of age who were admitted to an inpatient bed (regardless of whether the bed is designated as pediatric or adult) on the previous calendar day who had laboratory-confirmed COVID-19 at the time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
